# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	4120906	800	-							BKP64_RS00005	900		old_locus_tag=BKP64_00005
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	4120906	800	-	WP_070973465.1	WP_070973465.1		mechanosensitive ion channel family protein			BKP64_RS00005	900	299	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	959	1162	+							BKP64_RS00010	204		old_locus_tag=BKP64_00010
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	959	1162	+	WP_070964268.1	WP_070964268.1		DUF2892 domain-containing protein			BKP64_RS00010	204	67	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	1166	1654	-							BKP64_RS00015	489		old_locus_tag=BKP64_00015
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	1166	1654	-	WP_083329113.1	WP_083329113.1		SCP2 sterol-binding domain-containing protein			BKP64_RS00015	489	162	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	1723	2382	-					narL		BKP64_RS00020	660		old_locus_tag=BKP64_00020
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	1723	2382	-	WP_070964274.1	WP_070964274.1		two-component system response regulator NarL	narL		BKP64_RS00020	660	219	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	2402	4264	-							BKP64_RS00025	1863		old_locus_tag=BKP64_00025
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	2402	4264	-	WP_070964276.1	WP_070964276.1		histidine kinase			BKP64_RS00025	1863	620	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	4469	5737	+							BKP64_RS00030	1269		old_locus_tag=BKP64_00030
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	4469	5737	+	WP_070964279.1	WP_070964279.1		MFS transporter			BKP64_RS00030	1269	422	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	5879	9622	+							BKP64_RS00035	3744		old_locus_tag=BKP64_00035
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	5879	9622	+	WP_070964283.1	WP_070964283.1		nitrate reductase subunit alpha			BKP64_RS00035	3744	1247	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	9619	11196	+					narH		BKP64_RS00040	1578		old_locus_tag=BKP64_00040
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	9619	11196	+	WP_070964286.1	WP_070964286.1		nitrate reductase subunit beta	narH		BKP64_RS00040	1578	525	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	11207	11947	+					narJ		BKP64_RS00045	741		old_locus_tag=BKP64_00045
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	11207	11947	+	WP_070964288.1	WP_070964288.1		nitrate reductase molybdenum cofactor assembly chaperone	narJ		BKP64_RS00045	741	246	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	11968	12645	+					narI		BKP64_RS00050	678		old_locus_tag=BKP64_00050
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	11968	12645	+	WP_070964291.1	WP_070964291.1		respiratory nitrate reductase subunit gamma	narI		BKP64_RS00050	678	225	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	12710	13516	+							BKP64_RS00055	807		old_locus_tag=BKP64_00055
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	12710	13516	+	WP_070964294.1	WP_070964294.1		peptidylprolyl isomerase			BKP64_RS00055	807	268	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	13740	14489	+							BKP64_RS00060	750		old_locus_tag=BKP64_00060
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	13740	14489	+	WP_070973470.1	WP_070973470.1		Crp/Fnr family transcriptional regulator			BKP64_RS00060	750	249	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	14533	14919	+							BKP64_RS00065	387		old_locus_tag=BKP64_00065
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	14533	14919	+	WP_070964296.1	WP_070964296.1		putative zinc-binding protein			BKP64_RS00065	387	128	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	14955	15356	+							BKP64_RS00070	402		old_locus_tag=BKP64_00070
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	14955	15356	+	WP_070964299.1	WP_070964299.1		ribonucleotide reductase subunit alpha			BKP64_RS00070	402	133	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	15482	17620	+							BKP64_RS00075	2139		old_locus_tag=BKP64_00075
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	15482	17620	+	WP_236954015.1	WP_236954015.1		NosR/NirI family protein			BKP64_RS00075	2139	712	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	17688	19586	+					nosZ		BKP64_RS00080	1899		old_locus_tag=BKP64_00080
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	17688	19586	+	WP_070964302.1	WP_070964302.1		TAT-dependent nitrous-oxide reductase	nosZ		BKP64_RS00080	1899	632	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	19815	21083	+							BKP64_RS00085	1269		old_locus_tag=BKP64_00085
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	19815	21083	+	WP_070964304.1	WP_070964304.1		nitrous oxide reductase family maturation protein NosD			BKP64_RS00085	1269	422	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	21080	22012	+							BKP64_RS00090	933		old_locus_tag=BKP64_00090
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	21080	22012	+	WP_070964307.1	WP_070964307.1		ABC transporter ATP-binding protein			BKP64_RS00090	933	310	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	22009	22839	+							BKP64_RS00095	831		old_locus_tag=BKP64_00095
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	22009	22839	+	WP_070964309.1	WP_070964309.1		ABC transporter permease			BKP64_RS00095	831	276	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	22854	23435	+							BKP64_RS00100	582		old_locus_tag=BKP64_00100
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	22854	23435	+	WP_070964312.1	WP_070964312.1		nitrous oxide reductase accessory protein NosL			BKP64_RS00100	582	193	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	23469	24050	-							BKP64_RS00105	582		old_locus_tag=BKP64_00105
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	23469	24050	-	WP_070964315.1	WP_070964315.1		DUF6448 family protein			BKP64_RS00105	582	193	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	24198	25337	-							BKP64_RS00110	1140		old_locus_tag=BKP64_00110
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	24198	25337	-	WP_070964318.1	WP_070964318.1		AraC family transcriptional regulator			BKP64_RS00110	1140	379	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	25362	26354	-					moaA		BKP64_RS00115	993		old_locus_tag=BKP64_00115
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	25362	26354	-	WP_070964320.1	WP_070964320.1		GTP 3',8-cyclase MoaA	moaA		BKP64_RS00115	993	330	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	26490	27173	-					ytfE		BKP64_RS00120	684		old_locus_tag=BKP64_00120
