# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	259	1722	+					dnaA	31819540	MARHY_RS00005	1464		old_locus_tag=MARHY0001
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	259	1722	+	WP_011783582.1	WP_011783582.1		chromosomal replication initiator protein DnaA	dnaA	31819540	MARHY_RS00005	1464	487	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	1783	2886	+					dnaN	31819541	MARHY_RS00010	1104		old_locus_tag=MARHY0002
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	1783	2886	+	WP_014419997.1	WP_014419997.1		DNA polymerase III subunit beta	dnaN	31819541	MARHY_RS00010	1104	367	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	2905	4176	+						31819542	MARHY_RS00015	1272		old_locus_tag=MARHY0003
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	2905	4176	+	WP_023007665.1	WP_023007665.1		AarF/ABC1/UbiB kinase family protein		31819542	MARHY_RS00015	1272	423	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	4279	5400	+					recF	31819543	MARHY_RS00020	1122		old_locus_tag=MARHY0004
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	4279	5400	+	WP_014419999.1	WP_014419999.1		DNA replication/repair protein RecF	recF	31819543	MARHY_RS00020	1122	373	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	5472	7886	+					gyrB	31819544	MARHY_RS00025	2415		old_locus_tag=MARHY0005
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	5472	7886	+	WP_014420000.1	WP_014420000.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	31819544	MARHY_RS00025	2415	804	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	7987	8754	-						31819545	MARHY_RS00030	768		old_locus_tag=MARHY0006
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	7987	8754	-	WP_011783587.1	WP_011783587.1		hypothetical protein		31819545	MARHY_RS00030	768	255	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	8861	10138	-					gabT	31819546	MARHY_RS00035	1278		old_locus_tag=MARHY0007
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	8861	10138	-	WP_014420001.1	WP_014420001.1		4-aminobutyrate--2-oxoglutarate transaminase	gabT	31819546	MARHY_RS00035	1278	425	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	10227	11999	-						31819547	MARHY_RS00040	1773		old_locus_tag=MARHY0008
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	10227	11999	-	WP_014420002.1	WP_014420002.1		ATP-binding cassette domain-containing protein		31819547	MARHY_RS00040	1773	590	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	12228	14021	+						31819548	MARHY_RS00045	1794		old_locus_tag=MARHY0009
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	12228	14021	+	WP_041654398.1	WP_041654398.1		ABC transporter ATP-binding protein/permease		31819548	MARHY_RS00045	1794	597	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	14031	16283	-					recD	31819549	MARHY_RS00050	2253		old_locus_tag=MARHY0010
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	14031	16283	-	WP_014420004.1	WP_014420004.1		exodeoxyribonuclease V subunit alpha	recD	31819549	MARHY_RS00050	2253	750	
